var;1;2;3;4;5;6;7;8;9;10
60;1 2 4 7 6 8;error;24;8;3 3;[1, 2, 3];error;['7', '9'];[10, 11, 12, 13, '10'];[4, 5, 10, 11, 12, 13]
61;error;11 8 0 4;True;8;5 7;0 2 4 6;error;();['0', '1', '2', '3', '1', '3'];error
62;error;10 7 1 6;22;5;error;6 5 4 3 2 1;b;();[10, 11, 12, 13, 1, 2];[10, 11, 12, 13, 14]
63;error;10 6 4 3;3;1;13 error;[2, 3, 4];0;[];['0', '1', '2', '3', '11'];[]
64;error;10 2 8 5;25;4;error;[2, 3, 4];error;0369;error;[10, 2, 3]
65;1 5 6 9 9 7;error;35;6;3 -4 -4;[1, 2, 3];c;();13 [10, 11, 12];['1', '0', '3']
66;3 4 3 8 7 9;error;44;-1;error;[1, 2, 3];error;['9', '6', '3'];error;[10, 11, 12, 13]
67;error;8 1 8 5;21;14;-5 -5;[2, 3, 4];a;[5, 3, 1];error;['0', '1', '2', '1', '3', '3']
68;error;error;20;0;10 13 5 5;[2, 3, 4];c;876543210;error;[10, 11]
69;0 2 9 7 8 6;11 4 7 2;1;5;error;[1, 2, 3];b;('0',);13 [10, 11, 12];['1', '1', '0', '1', '2', '3']
70;4 3 1 9 7 6;5 0 9 2;31;3;13 error;0 8 6 4;1;[];[10, 11, 12, 13, [2, 3]];[10, 11, 12, 13]
71;error;20 4 7 3;23;12;-5 -3 -8 -8;[2, 3, 4];error;('3', '0');error;['1', '2', '0', '1', '2', '3']
72;error;12 1 5 3;21;9;13 -2;[1, 2, 3];error;['9', '7', '5', '3', '1'];[10, 11, 12, 13, 4, 5];['0', '1', '2', 1, 0]
73;error;12 2 6 1;40;11;-10 -7 4 4;[2, 3, 4];0;();['0', '1', '2', '3', [1, 0]];error
74;1 4 0 7 9 8;error;1;10;error;[1, 2, 3];4;empty;[10, 11, 12, 13, '12'];[10, 11, 12, 13]
75;error;10 3 5 5;22;10;error;6 4 2 0;error;9876543210;['0', '1', '2', '3', 2, 3];[1, 2, '2', '3']
76;error;5 2 1 8;2;0;error;[1, 2, 3];d;();error;['0', '1', '2', '3']
77;error;error;23;7;-2 0 2 -2 -2;[1, 2, 3];error;[];3 ['0', '1', '2'];error
78;5 3 4 7 7 6;5 6 4 7;20;6;error;5;b;();3;[]
79;0 0 7 8 8 9;12 8 2 5;9;11;-1 2 -7 -7;[2, 3, 4];1;[0, 2, 4, 6, 8];[[1, 2], '0', '1', '2', '3'];['0', 12]
80;error;error;25;2;1 3 5 13 -5;[2, 3, 4];1;['9', '7', '5', '3', '1'];['0', '1', '2', '3', '1', '1'];['1', '2', '3']
81;error;17 1 9 3;4;9;error;5 4 3 2 1 6;1;('9', '6', '3', '0');error;['1', '3', 13]
82;error;3 4 5 1;0;6;1;[2, 3, 4];error;[];['0', '1', '2', '3', '10'];['0', '1', '2', '3']
83;error;8 4 8 3;24;6;error;1;2;(0, 2, 4, 6);error;[10, 11, 12, 1, 2]
84;1 3 8 6 9 8;9 7 9 1;44;1;-2 1 13 -6;[1, 2, 3];b;empty;11 [10, 12, 13];[14, '2', '3']
85;5 4 0 6 7 9;error;21;3;12 12;[2, 3, 4];e;['5', '4', '3', '2', '1', '0'];['0', '1', '2', '3', 4, 5];[]
86;error;8 6 0 5;32;7;error;1;c;[4];['0', 20, '1', '2', '3'];[2, 3]
87;error;error;22;13;error;[1, 2, 3];error;8;[10, 11, 12, 13, 1, 0];[10, 11, 12, 13]
88;error;10 4 6 4;33;3;2 -7;4 6 8 0;4;('0', '3', '6', '9');1;[10, [13], 12, 13]
89;0 2 4 7 9 6;error;23;-1;error;[1, 2, 3];2;();['0', '1', '2', '3', '12'];['1', '1']
90;1 3 3 7 8 9;error;error;12;-10;5;error;empty;error;[]
91;error;error;20;9;error;[2, 3, 4];e;(0, 3, 6);['0', '1', '13', '2', '3'];[1, 0]
92;1 5 4 6 8 7;43 1 9 2;24;1;5;[2, 3, 4];error;[];[10, 11, 12, 13, '1', '3'];['1', '2', '1', '2', '3']
93;2 5 6 9 7 8;8 1 7 4;43;7;13 error;[1, 2, 3];a;('9', '8', '7', '6', '5');0 ['1', '2', '3'];[10, 11, 12, 13, 4, 5]
94;error;error;25;12;error;4;c;['9', '6', '3'];[10, 11, 12, 13, '1', '1'];['0', '1', '2', '3']
95;error;error;True;9;-1 -1;0 0 0 0;e;97;['0', '1', '2', '3', 1, 2];error
96;error;13 1 8 5;40;7;-8 -6 -4 5 5;1 2 3 4 5 6;error;(1, 4, 7);12 [10, 11, 13];['0', '1', 15, '2', '3']
97;error;7 4 0 3;23;8;error;[1, 2, 3];d;('7', '4', '1');error;[]
98;error;24 1 8 5;21;2;7 13 8;[2, 3, 4];error;['3', '5', '7'];error;['1', '0', '3']
99;error;10 9 8 0;6;10;error;[1, 2, 3];error;[9, 8, 7, 6, 5, 4, 3, 2, 1, 0];['12', 10, 11, 12, 13];[10, [1, 2], 12, 13]
