100019;К10;1;LR3;10
100019;К10;2;LR3;2
100028;К10;3;LR2;2
100027;К11;4;LR1;8

100008;К11;5;LR1;6
100025;К13;6;LR3;6
100023;К11;7;LR4;8
100024;К13;8;LR1;10
100016;К12;9;LR1;6
100028;К10;10;LR2;6
100021;К12;11;LR1;5
100024;К13;12;LR3;10
100020;К12;13;LR3;5
100013;К11;14;LR4;10
100009;К13;15;LR2;10
100003;К10;16;LR2;7
100017;К13;17;LR1;2
100011;К13;18;LR2;10
100014;К11;19;LR3;5
100025;К13;20;LR2;3
100005;К10;21;LR3;5
100005;К10;22;LR3;5
100029;К10;23;LR1;10
100005;К10;24;LR1;5
100006;К10;25;LR2;8
100002;К11;26;LR2;10
100028;К10;27;LR3;10
100025;К13;28;LR1;10
100025;К13;29;LR2;9
100021;К12;30;LR2;2
100010;К10;31;LR2;9
100002;К11;32;LR2;10
100022;К12;33;LR2;6
100020;К12;34;LR1;8
100006;К10;35;LR4;6
100018;К11;36;LR3;10
100030;К10;37;LR2;10
100017;К13;38;LR3;6
100004;К11;39;LR3;10
100030;К10;40;LR3;10
100029;К10;41;LR2;10
100002;К11;42;LR2;5
100001;К11;43;LR4;3
100023;К11;44;LR2;10
100012;К12;45;LR2;10
100027;К11;46;LR2;4
100009;К13;47;LR2;10
100001;К11;48;LR4;2
100008;К11;49;LR1;1
100019;К10;50;LR2;2
100021;К12;51;LR3;10
100014;К11;52;LR3;10
100010;К10;53;LR2;7
100026;К11;54;LR1;1
100022;К12;55;LR1;10
100027;К11;56;LR1;10
100016;К12;57;LR2;5
100015;К12;58;LR1;3
100019;К10;59;LR3;10
100018;К11;60;LR2;10
100012;К12;61;LR3;10
100013;К11;62;LR2;2
100009;К13;63;LR4;5
100013;К11;64;LR3;5
100028;К10;65;LR3;10
100026;К11;66;LR1;10
100021;К12;67;LR3;10
100027;К11;68;LR2;10
100025;К13;69;LR3;8
100018;К11;70;LR1;8
100029;К10;71;LR2;10
100017;К13;72;LR3;3
100018;К11;73;LR2;6
100003;К10;74;LR4;7
100010;К10;75;LR3;10
100017;К13;76;LR3;10
100026;К11;77;LR3;10
100012;К12;78;LR3;4
100029;К10;79;LR3;10
100020;К12;80;LR3;2
100019;К10;81;LR2;3
100015;К12;82;LR4;9
100010;К10;83;LR1;2
100010;К10;84;LR3;10
100028;К10;85;LR1;10
100019;К10;86;LR3;5
100018;К11;87;LR3;10
100023;К11;88;LR2;2
100007;К10;89;LR2;1
100006;К10;90;LR1;10
100013;К11;91;LR2;3
100015;К12;92;LR2;10
100026;К11;93;LR1;7
100021;К12;94;LR1;10
100028;К10;95;LR3;10
100007;К10;96;LR3;1
100030;К10;97;LR1;10
100022;К12;98;LR2;2
100012;К12;99;LR2;10
100002;К11;100;LR4;10
100015;К12;101;LR1;10
100026;К11;102;LR3;4
100020;К12;103;LR2;10
100021;К12;104;LR4;6
100004;К11;105;LR2;6
100024;К13;106;LR1;10
100004;К11;107;LR1;6
100028;К10;108;LR3;1
100002;К11;109;LR3;10
100014;К11;110;LR1;3
100028;К10;111;LR3;7
100020;К12;112;LR3;10
100028;К10;113;LR2;9
100003;К10;114;LR4;6
100010;К10;115;LR2;2
100013;К11;116;LR3;7
100028;К10;117;LR1;7
100028;К10;118;LR4;2
100025;К13;119;LR3;0
100010;К10;120;LR2;8
100027;К11;121;LR1;7
100006;К10;122;LR3;2
100006;К10;123;LR4;10
100017;К13;124;LR2;5
100017;К13;125;LR2;4
100023;К11;126;LR2;6
100006;К10;127;LR3;8
100018;К11;128;LR2;2
100018;К11;129;LR2;10
100003;К10;130;LR2;8
100004;К11;131;LR3;8
100021;К12;132;LR2;6
100010;К10;133;LR4;10
100025;К13;134;LR2;10
100004;К11;135;LR4;3
100005;К10;136;LR1;0
100012;К12;137;LR3;5
100025;К13;138;LR1;0
100003;К10;139;LR2;9
100005;К10;140;LR1;10
100015;К12;141;LR1;10
100026;К11;142;LR2;10
100025;К13;143;LR2;2
100022;К12;144;LR3;10
100022;К12;145;LR1;6
100018;К11;146;LR1;9
