1;1100100001
2;0001111011
3;0101001001
4;0011010110
5;1000110001
6;1000000001
7;0100011000
8;0111101100
9;0100101011
10;1000000010
11;0011101001
12;0000011110
13;0111011100
14;0000100101
15;0100001101
16;1000111100
17;0011001001
18;0100100000
19;0001100010
20;1111011011
21;0001100001
22;0101010100
23;0000000111
24;0100110111
25;0100100011
26;1100100101
27;0011111000
28;0100111001
29;1001010000
30;1000100001
31;0011111001
32;1000000010
33;0111011010
34;0101001010
35;0111110101
36;1001000010
37;0011001100
38;0000110100
39;0100111010
40;1110010000
41;0111100001
42;0011101101
43;1001001010
44;0100101110
45;0010001001
46;0010010110
47;1100000010
48;1101000100
49;1011000000
50;1000000100
