var;1;2;3;4;5;6;7;8;9;10
101;0 2 3 9 6 8;17 0 8 3;45;3;error;0 0 0 0;error;R ('7',);['0', '1', '2', '3', '1', '0'];[10, 11, [4, 5], 13]
102;error;9 2 8 5;21;13;13 error;1 2 3 4 5 6;2;R;error;['0', '1', '2', '3', '1', '0']
103;0 2 1 6 9 8;8 3 7 9;error;-1;-6 -4 -2 0 0;[1, 2, 3];a;R [8, 5, 2];[10, [4, 5], 11, 12, 13];['0', '1', '2', '3']
104;error;11 5 6 9;23;9;9 -7;5;0;R ['9', '7', '5', '3', '1'];['0', '1', '2', '3', 1, 0];['1', '1', 10, 11, 12, 13]
105;error;6 7 5 1;4;11;2 4 4;[2, 3, 4];d;R (0, 2, 4, 6, 8);[10, 11, 12, 13, '13'];['1', '3', '3']
106;error;9 2 4 3;22;8;error;0 0 0 0;a;R (9, 7, 5, 3);2 ['0', '1', '3'];[10, 11, 12]
107;5 1 0 7 8 9;10 1 5 0;20;5;error;[1, 2, 3];3;R;error;['0', '1', '2', '3']
108;error;34 7 6 2;3;2;8 11 4 4;[2, 3, 4];1;R ['0', '2', '4', '6'];error;[]
109;error;error;24;5;-10 -3;[1, 2, 3];b;R ('9', '8');3;['0', '1', '2', '3', 14]
110;error;14 9 7 3;error;8;error;[2, 3, 4];error;R [];[10, 11, 12, 13, [2, 3]];[1, 2, 10, 11, 12, 13]
111;error;29 5 5 3;3;2;-8;[1, 2, 3];error;R [];error;[2, 3]
112;error;19 7 9 2;25;9;13 error;6 5 4 3 2 1;error;R ();error;[10, 11, 12, 13]
113;error;error;25;10;error;0;error;R 258;[10, 11, 12, 13, '1', '2'];[10, '1', '2']
114;0 3 4 9 7 6;error;False;13;-5 -5;[2, 3, 4];error;R (9, 7, 5, 3, 1);['0', '1', '2', '11', '3'];error
115;5 1 2 6 8 9;11 9 5 5;9;12;3 6;[2, 3, 4];1;R [9, 6, 3];error;[]
116;error;10 0 3 8;21;8;error;[2, 3, 4];c;R ('1',);[10, 11, 12, 13, 1, 2];error
117;0 3 7 6 8 7;10 0 1 2;24;13;10 12 14 -2 -2;[1, 2, 3];error;R ['1', '0'];[10, 11, 12, 13, '13'];['0', '1', '2']
118;2 5 1 6 9 8;error;True;1;6 9 9;[1, 2, 3];error;R (3,);['0', '1', '11', '2', '3'];[15, 11, 12, 13]
119;error;error;22;11;error;5;0;R [];['0', '1', '2', '3', 2, 3];[10, 11, 1, 0]
120;error;9 9 2 8;43;13;error;[1, 2, 3];4;R 9;10 [11, 12, 13];error
121;error;30 3 5 4;45;-2;error;[2, 3, 4];e;R [];error;[10, 11, 12, 13]
122;5 2 0 7 6 8;9 1 0 1;20;7;8;[2, 3, 4];e;R ['5', '8'];[10, 11, 13];['0', '1', '2', '3']
123;0 3 8 7 9 6;8 5 9 3;error;7;error;[1, 2, 3];error;R ();0;[13, '2', '3']
124;error;12 4 1 6;23;9;-10 -7 -3 -3;[1, 2, 3];error;R ('9', '7', '5');[[1, 0], '0', '1', '2', '3'];error
125;5 4 2 9 7 6;13 7 6 3;40;6;error;[2, 3, 4];c;R 9630;0 ['1', '2', '3'];['2', '3']
126;3 0 1 7 6 8;error;23;11;error;1;error;R ('0', '2');[10, 11, 12, 13, '1', '2'];[10]
127;5 4 8 7 9 6;14 8 2 0;32;9;0 0 0;[1, 2, 3];e;R [9, 7, 5, 3, 1];[10, 11, 12, 13, '10'];[10, 11, '1', '0']
128;error;11 6 1 8;25;7;8 13 6;[2, 3, 4];4;R (9, 6);['0', '1', '2', '3', 4, 5];['3']
129;error;7 7 3 2;41;-1;error;[1, 2, 3];b;R 543210;[10, 11, 12, 13, 19];[10, 11, 12, 13, 4, 5]
130;error;8 9 6 3;20;6;-2 1 -4 -4;[2, 3, 4];b;R [];['0', '1', '2', '3', 1, 2];['0', '1', '2', '3', 1, 2]
131;3 1 5 7 6 8;error;21;-1;-5 9;[2, 3, 4];error;R ('0', '2');['0', '1', '2', '3', [1, 0]];['0']
132;error;error;9;5;error;[1, 2, 3];error;R ['8', '7', '6', '5', '4', '3', '2', '1', '0'];error;['1', '3', 12, 13]
133;error;13 1 9 5;22;2;error;0;c;R ();13 [10, 11, 12];['0', '1', '2', 1, 0]
134;5 3 0 8 7 9;12 3 0 8;35;4;-7 -5 -3 8 8;6 1 2 3 4 5;error;R 975;['0', '1', '2', '3', 2, 3];[10, 11, 12, 13, 14]
135;error;13 1 5 1;24;8;error;[2, 3, 4];a;R [9, 6, 3, 0];error;['0', '1', '2', '3', 2, 3]
136;error;10 5 8 2;0;6;-6;0 8 6 4;e;R ();error;[13]
137;error;12 7 8 3;20;9;1 4 5 5;[1, 2, 3];2;R [0, 3];[10, 11, 12, 13, '12'];error
138;1 2 0 7 6 8;30 6 2 0;8;11;error;[2, 3, 4];c;R;3 ['0', '1', '2'];['0', '1', '2', '1', '2']
139;error;error;5;9;13 -2;[1, 2, 3];e;R ();['0', '1', '2', '3', '1', '3'];[]
140;1 9 4 7 6 7;9 4 3 6;23;8;error;[2, 3, 4];b;R [];error;['0', '1', '2', '3']
141;error;error;25;1;error;4 6 8 0;error;R ('9', '8', '7', '6', '5', '4', '3', '2', '1', '0');error;['1', '1', '0', '1', '2', '3']
142;error;9 1 9 6;42;8;-8 -7 -7;4;error;R [];[10, 11, 12, 13, [4, 5]];['13', 11, 12, 13]
143;error;19 3 6 4;40;3;error;[1, 2, 3];a;R ();[10, 11, 12, 13, '10'];['0', '1', '2', '3']
144;error;error;24;13;2 6 6;5 4 3 2 1 6;error;R ['0', '2', '4', '6', '8'];error;[13]
145;error;5 2 3 4;22;7;13 error;[2, 3, 4];1;R;['0', '1', '2', '3', '1', '1'];[1, 2]
146;error;10 6 0 4;1;1;12 12;[1, 2, 3];d;R ['0', '2', '4', '6', '8'];error;['0', '1', '2', '3']
147;error;error;error;11;error;[1, 2, 3];0;R 0369;['0', '1', '2', [1, 2], '3'];[10, '1', '2']
148;4 2 1 6 6 7;error;21;12;0;[1, 2, 3];error;R [1];[10, 11, 12, 13, 1, 0];['0', '1', '2', '3']
149;1 5 2 9 7 6;7 2 2 1;20;6;-8 -5 -6 -6;[2, 3, 4];error;R (9, 8, 7);error;[10, 11, 12, 13, 1, 0]
150;error;15 7 4 1;4;7;error;9;error;R ();['12', '0', '1', '2', '3'];error
