1;1101;0100;0001;;
2;0010;0100;0100;;
3;0100;0001;0001;;
4;0001;0010;0100;;
5;0100;0010;0100;;
6;0000;0010;0001;;
7;0011;0010;0010;;
8;0101;0100;0001;;
9;0000;0001;0001;;
10;1000;0010;1000;;
11;0010;1000;1000;;
12;0001;0100;1000;;
13;0010;0001;1000;;
14;1100;0100;0001;;
15;0000;1000;0001;;
16;0111;0001;0100;;
17;0000;0100;0100;;
18;0101;1000;0001;;
19;1000;1000;1000;;
20;0010;0010;0001;;
21;0010;1000;0010;;
22;0110;0100;0010;;
23;0000;0100;0001;;
24;0000;0100;0001;;
25;0100;0010;0001;;
26;0111;0010;0100;;
