var;1;2;3;4;5;6;7;8
100;<class 'set'>;3 0 3 7 5;0 1 5 3;;-6;;5 11 7 6 3 4 2 1 0 10 8 9;1 5 6
101;<class 'dict'>;68 38 27 87;0 5 4 5 ERR;;0;;9 8 1 0 3 7 2 11 4 10 6 5;2 3 4 5
102;<class 'dict'>;(48, 5) (21, 8) (39, 8) (14, 8);0 4 5 3;;7;;5 4 10 3 2 6 0 8 7 9 1;2 3 4 6
103;<class 'dict'>;77 8 65 5 30 1 50 8;4 1 5 3;;2;;7 3 6 5 10 4 11 9 0 1 2 8;1 2 3 4
104;error;14 78 62 87;0 1 5 3;;3;;5 6 7 3 2 0 10 8 4 1 9;1 2 4 5 6
105;<class 'list'>;28 7 16 8 86 9 38 2;0 4 5 3;;-12;;11 6 10 4 3 8 7 0 9 5 1 2;2 3 4 5
106;<class 'tuple'>;75 9 69 0 43 2 41 0;0 1 5 3;;2;;8 1 10 5 0 7 9 4 3 6 2;1 2 3 4 5
107;<class 'list'>;68 9 31 4 11 6;0 5 5 5 2;;7;;10 8 9 0 1 7 5 2 3 6 4;1 2 3
108;<class 'dict'>;(55, 2) (71, 2) (73, 8) (12, 4) (18, 8);0 2 5 2 ERR;;-1;;7 0 3 6 8 5 10 2 11 4 9 1;2 4 5 6
109;<class 'dict'>;52 48 73 41 43;0 5 ERR;;-8;;4 6 8 1 5 9 2 3 10 0 7;1 2 3 6
110;<class 'list'>;9 2 9;0 2 5 2 ERR;;5;;5 7 6 3 0 2 4 11 8 10 1 9;2 4 5 6
111;<class 'list'>;39 55 30 70 58;0 1 5 3;;-7;;3 1 4 5 0 9 7 2 10 6 8;5 6
112;<class 'set'>;90 1 64 4 86 7 37 1;0 5 4 5 ERR;;0;;3 9 7 5 8 1 6 0 4 2 10;3 6
113;<class 'tuple'>;19 41 27 61;0 4 5 3;;6;;2 0 6 4 5 8 10 7 3 9 1;1 3 4 6
114;<class 'set'>;9 9 9 8;0 1 5 3;;1;;8 1 6 9 10 4 3 2 5 0 7;2 3 4 6
115;<class 'dict'>;43 0 70 7 48 2;0 2 5 2 ERR;;-3;;1 9 10 7 11 8 2 6 4 3 0 5;2 6
116;<class 'dict'>;(27, 1) (26, 4) (63, 7) (50, 6) (44, 9);0 5 ERR;;-7;;3 2 8 5 9 4 1 6 0 10 7;2 5 6
117;<class 'dict'>;48 71 21 25;0 4 5 3;;4;;7 8 2 9 0 5 3 4 10 1 6;1 5 6
118;<class 'dict'>;6 4 2;0 5 4 5 ERR;;10;;9 0 1 7 8 5 3 4 6 2 10;1 2 5 6
119;<class 'dict'>;53 88 90;4 1 5 3;;3;;7 4 5 10 6 3 2 8 1 0 9;1 5 6
120;<class 'tuple'>;77 9 16 9 84 5 58 5;0 2 5 2 ERR;;6;;10 6 1 9 5 0 4 3 7 11 2 8;1 2 3 4 5
121;<class 'set'>;(54, 0) (47, 6) (51, 8) (49, 8);0 5 ERR;;1;;3 9 10 8 4 7 2 0 5 6 1 11;2 3 6
122;<class 'list'>;16 9 68 8 43 9 40 5 72 0;0 1 5 3;;-5;;3 2 10 6 0 5 4 9 1 7 8;1 2 3
123;<class 'dict'>;63 57 65 46 18;0 2 5 2 ERR;;1;;4 2 8 3 0 11 7 9 10 5 1 6;3 6
124;<class 'list'>;85 3 79 9 29 7 18 0;0 2 5 2 ERR;;-5;;0 1 11 3 2 4 10 6 7 9 8 5;2 5 6
125;<class 'tuple'>;89 53 80 30;0 5 ERR;;7;;0 9 8 3 10 5 6 2 7 4 1;1 2 3
126;<class 'set'>;11 88 40;0 4 5 3;;6;;6 10 7 1 9 5 3 4 2 8 0;3 4
127;<class 'dict'>;(32, 3) (70, 2) (67, 7) (83, 7);0 1 5 3;;4;;10 9 6 1 7 3 8 2 4 0 5;2 3 5 6
128;<class 'set'>;3 1 5 4;0 2 5 2 ERR;;-14;;7 4 6 3 9 5 11 0 8 10 2 1;1 3
129;error;48 8 44 5 17 9 84 0;0 5 4 5 ERR;;14;;5 11 4 10 7 0 1 8 6 9 3 2;1 2 4
130;<class 'dict'>;31 5 20 6 10 8 29 6 72 0;0 2 5 2 ERR;;-6;;8 5 4 7 6 3 9 2 1 0 10;1 2 3 4
131;<class 'dict'>;(84, 8) (25, 8) (51, 0) (47, 5);0 5 ERR;;4;;5 6 4 9 8 1 2 7 0 3 11 10;1 2 3 4 6
