1;;;0001;1000;1000;0100;1000
2;;;0100;0100;0100;0001;1000
3;;;0001;0100;0001;0001;0000
4;;;0001;0001;0100;1000;0010
5;;;0100;0010;0100;0010;0110
6;;;0010;1000;0010;0100;0001
7;;;0001;0100;0010;1000;0010
8;;;0100;1000;0010;0010;1000
9;;;0001;1000;0100;1000;0100
10;;;1000;0100;0010;0010;0001
11;;;0001;0100;0100;0100;0100
12;;;1000;0010;1000;0010;0000
13;;;0010;0010;0001;0001;0100
14;;;0001;1000;0001;0100;1001
15;;;1000;1000;1000;0010;1000
16;;;0010;0010;0001;0001;0011
17;;;0100;0010;0010;0010;1000
18;;;1000;0010;1000;0010;0001
19;;;0100;0001;1000;0001;0000
20;;;0001;0001;0001;0010;0010
21;;;0100;1000;0010;1000;0001
22;;;0100;0010;0010;0001;0100
23;;;1000;0001;0001;1000;0001
24;;;0001;1000;1000;1000;1000
25;;;1000;0100;0001;0001;0100
26;;;0010;0010;0010;0001;0101
27;;;1000;0100;0100;0001;0000
28;;;0001;0001;1000;0100;1000
29;;;0100;1000;0001;0100;0100
30;;;0010;1000;0100;0010;1010
31;;;0100;0001;1000;1000;0001
32;;;0100;0100;0001;0010;0010
33;;;0001;0100;1000;0100;0010
34;;;0010;0001;1000;1000;0000
35;;;1000;0010;0010;0010;0100
36;;;1000;0001;0100;0001;0100
37;;;0100;0010;0001;1000;0000
38;;;0100;0100;0001;0100;1000
39;;;1000;0100;0001;0100;0100
40;;;0010;1000;0010;0001;1001
41;;;0100;0100;0100;1000;0001
42;;;1000;1000;0100;0010;0010
43;;;1000;1000;0100;0010;0001
44;;;1000;0100;0010;0001;0100
45;;;1000;0100;1000;0010;0100
46;;;0100;1000;1000;0001;0101
47;;;1000;1000;0001;0010;0000
48;;;1000;0010;1000;0100;0100
49;;;0010;1000;0001;0001;0100
50;;;0100;0001;0010;0100;0001
51;;;1000;0100;1000;0010;0000
52;;;0100;0100;0010;0010;0100
53;;;0010;1000;0100;1000;1010
54;;;0001;1000;0100;0001;0001
55;;;0100;0001;0100;0001;1000
56;;;1000;0001;0010;0100;0001
57;;;0001;0010;0100;0001;0100
58;;;1000;1000;0010;0001;0100
59;;;0100;0001;0010;0010;0101
60;;;1000;0001;0010;0010;0000
61;;;1000;1000;0010;0010;0001
62;;;0001;0010;0010;0001;0100
63;;;1000;1000;0010;0010;0100
64;;;0100;1000;0001;0001;1000
65;;;0100;0010;0010;1000;0100
66;;;0010;0001;1000;0010;0000
67;;;0001;0100;1000;0010;1010
68;;;0100;0010;0010;0100;0010
69;;;0100;0010;1000;1000;0100
70;;;0010;0001;0100;0100;0001
71;;;0100;0010;0010;1000;1000
72;;;0001;1000;1000;1000;0001
73;;;0010;0100;0100;0001;0100
74;;;0100;0100;0001;1000;0011
75;;;1000;1000;0001;0010;0010
76;;;0010;0001;0001;0100;0000
77;;;0100;0001;0100;0100;0010
78;;;0001;1000;0001;0100;0001
79;;;0100;0010;0010;0001;0001
80;;;0010;1000;0100;0010;1001
81;;;0001;0001;0100;0010;0000
82;;;0001;0001;0001;0100;1000
83;;;0001;0100;0001;0100;0100
84;;;0001;1000;0001;0010;0001
85;;;0001;0100;0100;0010;0000
86;;;1000;0100;0001;0001;0001
87;;;0010;0100;0100;0100;0110
88;;;0100;0001;0010;0100;0001
89;;;0100;0010;1000;0100;0001
90;;;0010;0001;0100;1000;0010
91;;;0010;0001;0001;0010;0001
92;;;0001;1000;0001;0001;0100
93;;;0010;0100;0100;0001;1000
94;;;0001;1000;0100;0001;0100
95;;;0010;1000;0100;0001;1000
96;;;0001;0010;0100;0001;0000
97;;;0010;1000;1000;0010;0100
98;;;1000;0001;1000;0010;0101
99;;;0100;0010;0100;0100;0001
100;;;0010;0001;1000;0001;1000
