1;0010;0010;0001;1110;0011;1011;1110;1010;1000;1111
2;0100;1011;0010;1010;1100;1000;0011;0011;1000;1111
3;1000;1010;1000;0010;0100;0000;1011;1101;0000;1111
4;0001;1001;1000;0100;1011;1010;1110;1110;1001;1111
5;1000;1110;1000;1100;1110;0110;1011;1110;0010;1111
6;0001;1000;0010;0000;1010;1111;1010;0101;1000;1111
7;1000;0111;0001;0111;1001;1001;1110;0010;0000;1111
8;0010;0100;0010;0101;0001;0101;1010;0000;1000;1111
9;0001;1001;0100;1011;0101;1100;0100;1101;0001;1111
10;0010;0101;1000;0100;0111;0001;1110;0011;0101;1111
11;1000;1001;0010;0000;0110;1011;1010;0100;0010;1111
12;0010;1001;0100;0000;0011;0110;1110;0111;1000;1111
13;0100;1010;0100;0000;0100;0111;0111;1111;0000;1111
14;1000;1000;0010;0100;0111;0111;1011;0011;1010;1111
15;0010;1001;1000;0001;0110;1101;1010;0010;0100;1111
16;0001;0111;0100;0101;0000;1001;0001;1000;0000;1111
17;0001;1101;1000;1001;0111;1101;1101;0101;0100;1111
18;1000;0000;1000;0111;1000;1011;1111;1111;0110;1111
19;0010;0011;0001;0100;1100;0101;0101;1010;0010;1111
20;0001;1110;1000;0001;0101;1011;1101;0110;0001;1111
21;0100;1000;0010;1010;1101;0011;1110;0000;1001;1111
22;1000;0111;0100;0110;1110;0010;0000;0011;0000;1111
23;0010;0100;0010;0100;0100;0111;1011;1001;1000;1111
24;0001;1101;0001;1001;1000;0101;0111;0011;0100;1111
25;1000;0101;0001;0011;1001;0111;1001;0111;1000;1111
26;0100;1100;1000;0110;0111;0001;1100;0001;0011;1111
27;0100;1000;0100;1010;1101;0010;0011;1100;0011;1111
28;0001;0111;0001;0010;0011;1111;1111;1011;0000;1111
29;1000;1000;0010;0000;1101;1011;0110;1110;0000;1111
30;0100;1100;1000;0110;0110;1001;1110;0101;0010;1111
31;0001;1111;0001;0010;1100;1000;1110;0110;0010;1111
32;0001;0010;0001;0011;1001;1110;1011;0011;1000;1111
33;0100;1101;0100;0110;1100;0111;0010;0010;0110;1111
34;0001;1100;1000;0010;0101;1011;1100;0001;0001;1111
35;0010;1010;0100;0101;1101;1000;1110;1110;0000;1111
36;0001;1000;0001;0001;0001;1011;1101;1011;0101;1111
37;0001;0001;0010;1110;1100;0011;0111;1011;0010;1111
38;0001;0001;0010;0000;1011;0001;0011;1100;0110;1111
39;0001;1111;1000;1000;0111;0010;1111;1001;0000;1111
40;0100;0110;0100;0101;0110;0011;0001;0100;0000;1111
41;0001;0111;0100;0100;0010;1000;1111;1010;1100;1111
42;0010;0011;0100;1100;1110;0110;1001;0100;1000;1111
43;0001;1011;1000;1000;1000;1001;0111;1010;0000;1111
44;0001;0000;0010;0010;0111;0101;1010;1110;0001;1111
45;1000;0100;0010;1000;0011;0111;0111;1001;1000;1111
46;0010;0010;0010;1101;0100;1001;1110;1011;0010;1111
47;0100;1111;1000;0101;1111;0010;0101;1111;0000;1111
48;0010;1001;0001;0010;0011;1010;1101;0100;0010;1111
49;1000;1001;0100;1100;0000;1100;1111;0000;0011;1111
50;0001;0011;0010;0001;1110;1101;1110;0100;0001;1111
51;0010;1010;1000;1001;0101;1100;1010;1000;0001;1111
52;0010;1001;0001;0000;0100;1101;0100;1110;0001;1111
53;0001;1110;0010;1001;1101;1110;0110;1110;1001;1111
54;0001;0111;0001;0011;0110;0111;1101;1010;0000;1111
