1;;;1010100011
2;;;0101010100
3;;;0110010011
4;;;0100010111
5;;;0001000011
6;;;1110000000
7;;;1100001100
8;;;1000101101
9;;;1100000100
10;;;0001000011
11;;;0111101011
12;;;0001101001
13;;;1101100111
14;;;1000100011
15;;;1010110010
16;;;1000110011
17;;;1000100000
18;;;1110100011
19;;;0100000011
20;;;1000000100
21;;;0001000111
22;;;1101001101
23;;;1010001000
24;;;0010001000
25;;;1101111000
26;;;1010010100
27;;;0011110001
28;;;0110111100
29;;;1010000011
30;;;0001110010
31;;;0001100011
32;;;0101100110
33;;;0110011100
34;;;0100000000
35;;;0010110001
36;;;1001000110
37;;;1110010101
38;;;0101100110
39;;;0010011000
40;;;0100101001
41;;;1011110110
42;;;0000000000
43;;;0011000100
44;;;0001000110
45;;;1111101100
46;;;1101010110
47;;;1000100010
48;;;0000010101
49;;;0011011101
50;;;1101000000
