0; 2 7 5 8 1 3 10 0 6 9 4 ; 8 3 10 1 5 7 9 4 6 0 2 
1; 0 3 6 2 7 9 4 10 5 8 1 ; 2 9 4 7 6 3 8 1 5 10 0 
2; 8 0 10 2 3 7 9 1 5 4 6 ; 2 7 9 3 10 0 4 6 5 1 8 
3; 0 5 6 7 10 2 9 3 1 4 8 ; 7 2 9 10 6 5 4 8 1 3 0 
4; 1 0 7 8 4 3 10 5 9 6 2 ; 8 3 10 4 7 0 6 2 9 5 1 
5; 2 7 4 10 5 1 8 9 3 0 6 ; 10 5 4 7 9 0 6 3 8 1 2 
6; 5 8 4 10 9 7 3 6 0 2 1 ; 10 9 4 8 6 2 1 0 3 7 5 
7; 4 8 3 9 2 10 6 5 1 0 7 ; 9 2 3 8 5 0 7 1 6 10 4 
8; 4 3 5 7 1 6 10 8 2 9 0 ; 7 1 5 3 8 9 0 2 10 6 4 
9; 5 1 4 2 3 6 0 7 10 8 9 ; 2 3 4 1 7 8 9 10 0 6 5 
10; 6 4 8 7 5 1 0 9 3 10 2 11 ; 8 1 0 5 7 4 3 2 11 10 9 6 
11; 11 0 2 7 9 6 10 1 5 4 3 8 ; 2 6 10 9 7 0 5 3 8 4 1 11 
12; 4 1 5 3 9 7 8 0 2 10 6 11 ; 5 7 8 9 3 1 2 6 11 10 0 4 
13; 0 11 6 5 7 10 1 8 4 2 9 3 ; 6 10 1 7 5 11 4 9 3 2 8 0 
14; 4 2 6 9 10 11 8 1 7 3 5 0 ; 6 11 8 10 9 2 7 5 0 3 1 4 
15; 4 10 8 1 6 5 0 11 9 3 7 2 ; 1 6 8 11 9 0 5 10 7 2 3 4 
16; 1 10 11 9 4 2 3 5 7 0 6 8 ; 9 4 11 5 7 3 2 10 6 8 0 1 
17; 0 5 1 7 8 4 6 3 2 11 9 10 ; 7 8 1 3 2 6 4 5 9 10 11 0 
18; 9 11 0 5 6 10 3 7 2 1 4 8 ; 5 6 0 7 2 3 10 11 4 8 1 9 
19; 3 9 4 0 6 5 2 10 7 1 8 11 ; 0 6 4 10 7 2 5 9 8 11 1 3 
20; 1 0 10 8 3 5 2 4 7 6 9 ; 8 3 10 5 0 4 6 9 7 2 1 
21; 6 2 3 7 8 5 10 4 1 0 9 ; 7 8 3 5 2 4 0 9 1 10 6 
22; 7 5 8 6 3 2 9 10 4 0 1 ; 6 3 8 2 5 10 0 1 4 9 7 
23; 7 0 10 9 3 5 8 2 4 1 6 ; 9 3 10 5 0 2 1 6 4 8 7 
24; 2 1 0 8 5 4 9 10 3 6 7 ; 8 5 0 4 1 10 6 7 3 9 2 
25; 9 0 5 1 11 7 8 6 10 4 3 2 ; 5 1 0 6 10 8 3 2 4 7 11 9 
26; 8 9 1 3 0 6 11 4 2 10 5 7 ; 1 3 9 4 2 11 5 7 10 6 0 8 
27; 0 2 5 4 11 10 1 3 7 9 6 8 ; 5 4 2 3 7 1 6 8 9 10 11 0 
28; 2 7 0 3 9 10 6 11 5 8 1 4 ; 0 3 7 11 5 6 1 4 8 10 9 2 
29; 3 11 5 8 1 10 0 6 4 7 9 2 ; 5 8 11 6 4 0 9 2 7 10 1 3 
30; 2 0 4 10 6 3 1 11 8 5 9 7 ; 6 3 10 1 4 0 8 9 7 5 11 2 
31; 4 9 8 0 10 7 2 5 11 6 3 1 ; 10 7 0 2 8 9 11 3 1 6 5 4 
32; 1 7 11 9 6 2 4 3 8 5 10 0 ; 6 2 9 4 11 7 8 10 0 5 3 1 
33; 4 8 2 9 3 1 10 11 0 7 5 6 ; 3 1 9 10 2 8 0 5 6 7 11 4 
34; 2 0 11 4 9 3 7 1 5 6 8 10 ; 9 3 4 7 11 0 5 8 10 6 1 2 
35; 11 1 8 3 0 10 6 7 4 2 5 9 ; 8 0 10 3 1 4 5 9 2 7 6 11 
36; 2 5 0 4 8 1 11 10 9 3 7 6 ; 0 8 1 4 5 9 7 6 3 10 11 2 
37; 8 4 5 6 10 7 11 0 9 2 3 1 ; 5 10 7 6 4 9 3 1 2 0 11 8 
38; 6 1 8 10 9 5 7 3 11 2 4 0 ; 8 9 5 10 1 11 4 0 2 3 7 6 
39; 5 4 1 11 6 10 0 3 2 8 7 9 ; 1 6 10 11 4 2 7 9 8 3 0 5 
40; 3 7 9 1 11 6 5 4 0 2 8 10 ; 11 6 1 4 0 5 9 7 8 10 2 3 
41; 6 11 5 8 9 3 10 0 4 2 1 7 ; 9 3 8 0 4 10 5 11 1 7 2 6 
42; 11 8 4 0 1 9 2 10 5 3 6 7 ; 1 9 0 10 5 2 4 8 6 7 3 11 
43; 0 2 9 11 10 3 7 5 6 8 1 4 ; 10 3 11 5 6 7 9 2 1 4 8 0 
44; 2 9 1 8 10 7 5 11 4 3 6 0 ; 10 7 8 11 4 5 1 9 6 0 3 2 
45; 8 7 2 3 0 6 9 10 5 1 4 ; 0 6 3 9 2 7 1 4 5 10 8 
46; 5 7 0 1 9 6 4 3 2 8 10 ; 9 6 1 4 0 7 8 10 2 3 5 
47; 8 1 10 5 6 4 0 3 2 9 7 ; 6 4 5 0 10 1 9 7 2 3 8 
48; 3 9 10 1 2 6 4 5 8 0 7 ; 2 6 1 4 10 9 0 7 8 5 3 
