var;1;2;3;4;5;6;7;8;9
60;6;3.0;False;False;False;ffFalse;3;4 1 3 6 8 9;12 8 2 1
61;1.125;-2.0123456790123457;False;False;False;ff9;1;0 5 2 7 9 8;12 6 6 1
62;0;-2.0;True;True;False;fTrue;1;error;error
63;48.0;0;False;False;False;ff-2;7;error;6 2 8 0
64;56.25;0.0625;True;False;False;f0;4;0 3 4 8 6 9;11 5 8 9
65;0.0;-0.5;True;False;False;ffTrue;9;1 5 9 7 6 7;10 0 2 7
66;0.0;0.0;False;True;False;fTrue;2;error;7 8 4 9
67;8;17;False;False;False;ff4;5;error;13 1 7 2
68;4;4.0;False;error;False;ffTrue;9;4 2 2 9 8 7;10 3 5 7
69;0.5625;5.0;True;True;False;f-7;6;error;error
70;0.0;-0.875;True;error;False;f6;6;error;9 1 9 1
71;0;1.0;False;False;False;fFalse;0;error;9 4 0 3
72;1.6875;0.5;True;error;False;ff-6;8;5 1 2 7 8 6;error
73;0;1.0;True;False;False;ffFalse;7;1 5 3 9 8 6;error
74;40.0;1.0;False;True;False;f0;0;error;error
75;7;-2;False;True;False;fTrue;4;error;error
76;0.3125;-0.3333333333333333;False;error;False;fFalse;1;error;error
77;0;-0.5;True;False;False;f-3;0;5 2 1 9 6 7;8 4 1 0
78;8;-3.0;True;True;False;ffTrue;2;error;21 7 3 2
79;33.75;2.3333333333333335;True;False;False;f2;2;error;5 5 6 8
80;0.0;3;True;error;False;f-6;1;1 3 5 7 6 8;24 5 8 0
81;3.1111111111111107;-1.0;False;error;False;fFalse;2;4 2 8 9 8 7;11 6 4 3
82;47.25;1.0;True;error;False;fFalse;8;error;8 2 5 6
83;0;-10;True;error;False;f-7;7;3 0 1 7 8 9;7 9 6 5
84;0.31746031746031744;-11.0;True;error;False;ff7;8;error;6 5 0 3
85;6;-2.0;False;error;False;ffFalse;4;error;12 2 9 7
86;0;15.0;True;True;False;f4;7;2 4 0 7 6 9;error
87;25.199999999999996;1.75;True;error;False;fFalse;1;error;12 7 4 1
88;0;0.0;True;error;False;ff-6;3;error;10 5 3 8
