1;;;1010;0001;0010;1000;1100
2;;;0001;1000;0100;1000;0010
3;;;0000;0010;0010;0100;0100
4;;;1000;0001;0100;0010;0100
5;;;1010;0010;0001;0001;0000
6;;;0110;1000;0001;0100;1000
7;;;0000;1000;0010;0001;0010
8;;;1010;1000;0001;0100;0001
9;;;0010;1000;1000;0100;0000
10;;;0010;0100;1000;0010;0100
11;;;0010;0100;0100;0100;0001
12;;;0001;1000;1000;0001;1000
13;;;1000;0100;0100;0100;1100
14;;;1001;1000;0010;0001;0100
15;;;1100;1000;0100;1000;1000
16;;;0010;1000;0100;1000;0100
17;;;1000;0100;0100;1000;1100
18;;;0000;0010;0100;1000;0010
19;;;0001;0010;0100;1000;0100
20;;;0101;1000;1000;1000;0000
21;;;1110;0001;0100;0010;0100
22;;;0010;1000;0001;0010;1000
23;;;0000;1000;0010;0010;1001
24;;;0100;1000;0100;1000;0000
25;;;1000;0001;0100;0001;1000
26;;;1001;1000;1000;0100;0100
27;;;0001;1000;1000;1000;0001
28;;;0000;0100;1000;1000;0010
29;;;0000;0010;1000;0001;0100
30;;;1110;1000;0010;1000;0100
31;;;0100;0010;0100;1000;0110
32;;;0100;0010;0100;0001;0100
33;;;0001;0001;0010;1000;0001
34;;;0001;0100;0100;0010;1000
35;;;0111;0010;0001;1000;0000
36;;;0100;0100;1000;0010;0001
37;;;0001;1000;1000;0100;0110
38;;;1000;1000;0001;0100;0000
39;;;1000;1000;0010;0100;0001
40;;;0001;0100;0001;0100;0001
41;;;0010;0100;0100;0001;0001
42;;;0100;0001;0001;0010;1000
43;;;1100;1000;0001;0100;0001
44;;;1010;0001;0001;0001;0010
45;;;0001;0100;0100;0010;0001
46;;;0000;0010;0100;0100;0101
47;;;1000;1000;1000;0100;0010
48;;;1000;0100;1000;0100;0000
49;;;1010;0001;1000;0010;0100
50;;;1000;0010;0001;0010;0000
51;;;0111;0100;0010;0100;0001
52;;;0000;0010;1000;0100;0101
53;;;0000;0010;0100;0010;1000
54;;;1110;0001;1000;0100;0010
55;;;0001;0100;0010;0001;0010
56;;;0010;0010;1000;0100;1000
57;;;0001;0010;0010;0010;0100
58;;;0000;0010;0100;0001;0010
59;;;0010;0001;1000;0001;0000
60;;;0101;0010;0100;0001;1000
