var;1;2;4;5;6;7;8;9;10
190;<class 'list'>;65 8 62 8 79 9 15 7;-5;5 3 2 11 4 0 10 9 7 8 6 1;0 1 3 4 5 6 7 9;1 4 5 6;14 ERR 13;2 3;4 5 6
191;<class 'list'>;72 84 73 28;3;9 7 0 10 8 6 5 1 3 4 2;0 1 3 4 5 6 7 9;1 3 6;15 ERR 13;0 2 4 2 ERR;4 5 6
192;<class 'tuple'>;7 3 7 0;-3;10 6 3 5 2 4 8 7 0 1 9;6 8;1 2 5 6;11 ERR 13;0 ERR;4 2 6
1;<class 'set'>;59 61 48 34 27;-1;2 9 5 6 7 10 4 1 8 0 3;2 4 5 8 9;2 3 4 5;0 1 5 3;0 2 4 2 ERR;4 5 6
2;ERROR;60 54 15 42;-6;2 3 6 10 4 8 7 9 0 1 5;4 6;1 4 5 6;0 4 5 3;1 3;4 2 6
3;ERROR;8 8 0 5;6;0 5 6 7 10 2 9 3 1 4 8;2 5 8;1 4 5;14 ERR 13;0 2 4 2 ERR;4 5 6
4;<class 'dict'>;(28, 3) (34, 5) (37, 2) (66, 1);-6;3 1 9 10 2 8 0 5 6 7 11 4;2 3 4 5 6 7 8 9;2 4 6;0 1 5 3;0 ERR;4 5 6
5;<class 'dict'>;53 8 88 3 90 9;-7;10 3 11 5 6 7 9 2 1 4 8 0;2 4 6 7 8;1 2 3 4 6;15 1 13;1 3;4 5 3
6;<class 'list'>;87 9 26 1 34 9 59 5 46 8;-2;4 3 5 7 1 6 10 8 2 9 0;0 7 8 9;1 2 3 6;4 1 5 3;1 2;4 2 6
7;<class 'dict'>;10 41 58;7;1 10 9 0 8 3 2 7 5 4 11 6;5 6 8 9;1 5 6;11 ERR 13;0 2 4 2 ERR;4 5 6
8;<class 'dict'>;(61, 1) (56, 7) (50, 6) (73, 1) (59, 4);0;8 6 10 5 0 7 4 2 3 1 9;1 2 5 6 8;1 3 4 5;15 1 13;0 ERR;4 5 6
