Variant 1:1:-2
Variant 1:2:BAAC
Variant 1:3:768
Variant 1:4:64
Variant 1:5:166
Variant 1:6:undefined behaviour
Variant 1:7:B~B=
Variant 1:8:4
Variant 2:1:-7
Variant 2:2:ABBBC
Variant 2:3:4190
Variant 2:4:30
Variant 2:5:syntax
Variant 2:6:=
Variant 2:7:BA~A~B=
Variant 2:8:-2
Variant 3:1:6
Variant 3:2:CBBBBA
Variant 3:3:727739
Variant 3:4:11
Variant 3:5:365
Variant 3:6:0
Variant 3:7:BB~B~B=
Variant 3:8:4
Variant 4:1:-1
Variant 4:2:BBBAC
Variant 4:3:105
Variant 4:4:64
Variant 4:5:214
Variant 4:6:undefined behaviour
Variant 4:7:BBAC~C~A~B~B=
Variant 4:8:10
Variant 5:1:-1
Variant 5:2:CBAA
Variant 5:3:74772
Variant 5:4:41
Variant 5:5:syntax
Variant 5:6:syntax
Variant 5:7:A~A=
Variant 5:8:3
Variant 6:1:10
Variant 6:2:AAAABC
Variant 6:3:0119
Variant 6:4:11
Variant 6:5:03
Variant 6:6:undefined behaviour
Variant 6:7:=
Variant 6:8:-1
Variant 7:1:2
Variant 7:2:CABBB
Variant 7:3:787709
Variant 7:4:11
Variant 7:5:32
Variant 7:6:syntax
Variant 7:7:B~B=
Variant 7:8:-11
Variant 8:1:8
Variant 8:2:CAAB
Variant 8:3:1223
Variant 8:4:30
Variant 8:5:577
Variant 8:6:syntax
Variant 8:7:B~B=
Variant 8:8:11
Variant 9:1:-1
Variant 9:2:CBAAAA
Variant 9:3:9287
Variant 9:4:30
Variant 9:5:51
Variant 9:6:undefined behaviour
Variant 9:7:A~A=
Variant 9:8:-12
Variant 10:1:18
Variant 10:2:BBBAC
Variant 10:3:165
Variant 10:4:11
Variant 10:5:624
Variant 10:6:=
Variant 10:7:=
Variant 10:8:10
Variant 11:1:-3
Variant 11:2:CBBBBA
Variant 11:3:87883
Variant 11:4:64
Variant 11:5:122
Variant 11:6:1
Variant 11:7:BBAC~C~A~B~B=
Variant 11:8:-6
Variant 12:1:2
Variant 12:2:AABC
Variant 12:3:461
Variant 12:4:3
Variant 12:5:00
Variant 12:6:syntax
Variant 12:7:BB~B~B=
Variant 12:8:-6
Variant 13:1:19
Variant 13:2:ABBBBC
Variant 13:3:4556
Variant 13:4:46
Variant 13:5:322
Variant 13:6:undefined behaviour
Variant 13:7:BA~A~B=
Variant 13:8:-4
Variant 14:1:4
Variant 14:2:CABBB
Variant 14:3:272298
Variant 14:4:41
Variant 14:5:syntax
Variant 14:6:undefined behaviour
Variant 14:7:B~B=
Variant 14:8:5
Variant 15:1:-2
Variant 15:2:CAAB
Variant 15:3:19118
Variant 15:4:30
Variant 15:5:61
Variant 15:6:undefined behaviour
Variant 15:7:BBAC~C~A~B~B=
Variant 15:8:-5
Variant 16:1:3
Variant 16:2:BAAC
Variant 16:3:0647
Variant 16:4:11
Variant 16:5:35
Variant 16:6:syntax
Variant 16:7:B~B=
Variant 16:8:1
Variant 17:1:11
Variant 17:2:CABBB
Variant 17:3:809
Variant 17:4:3
Variant 17:5:625
Variant 17:6:undefined behaviour
Variant 17:7:BB~B~B=
Variant 17:8:-1
Variant 18:1:-1
Variant 18:2:ABBBBC
Variant 18:3:314
Variant 18:4:30
Variant 18:5:300
Variant 18:6:syntax
Variant 18:7:BA~A~B=
Variant 18:8:2
Variant 19:1:-1
Variant 19:2:BAAAAC
Variant 19:3:63661
Variant 19:4:64
Variant 19:5:025
Variant 19:6:syntax
Variant 19:7:A~A=
Variant 19:8:-7
Variant 20:1:2
Variant 20:2:CAAAB
Variant 20:3:707798
Variant 20:4:11
Variant 20:5:634
Variant 20:6:syntax
Variant 20:7:B~B=
Variant 20:8:1
Variant 21:1:14
Variant 21:2:AABC
Variant 21:3:0663
Variant 21:4:11
Variant 21:5:422
Variant 21:6:syntax
Variant 21:7:=
Variant 21:8:5
Variant 22:1:6
Variant 22:2:BBAC
Variant 22:3:712
Variant 22:4:30
Variant 22:5:33
Variant 22:6:undefined behaviour
Variant 22:7:A~A=
Variant 22:8:3
Variant 23:1:8
Variant 23:2:CBAAA
Variant 23:3:583
Variant 23:4:64
Variant 23:5:30
Variant 23:6:=
Variant 23:7:B~B=
Variant 23:8:-6
Variant 24:1:9
Variant 24:2:CBBBBA
Variant 24:3:0217
Variant 24:4:64
Variant 24:5:syntax
Variant 24:6:undefined behaviour
Variant 24:7:=
Variant 24:8:-3
Variant 25:1:-1
Variant 25:2:CAAAAB
Variant 25:3:145
Variant 25:4:11
Variant 25:5:357
Variant 25:6:=
Variant 25:7:BA~A~B=
Variant 25:8:-10
Variant 26:1:-1
Variant 26:2:ABBBC
Variant 26:3:7236
Variant 26:4:46
Variant 26:5:602
Variant 26:6:3=
Variant 26:7:B~B=
Variant 26:8:-2
Variant 27:1:7
Variant 27:2:BAAC
Variant 27:3:646690
Variant 27:4:64
Variant 27:5:syntax
Variant 27:6:syntax
Variant 27:7:BBAC~C~A~B~B=
Variant 27:8:-9
Variant 28:1:4
Variant 28:2:CBBA
Variant 28:3:7115
Variant 28:4:30
Variant 28:5:44
Variant 28:6:syntax
Variant 28:7:BB~B~B=
Variant 28:8:-5
Variant 29:1:-8
Variant 29:2:BBBAC
Variant 29:3:46443
Variant 29:4:46
Variant 29:5:63
Variant 29:6:syntax
Variant 29:7:=
Variant 29:8:7
Variant 30:1:11
Variant 30:2:CABBBB
Variant 30:3:251
Variant 30:4:30
Variant 30:5:40
Variant 30:6:undefined behaviour
Variant 30:7:BBAC~C~A~B~B=
Variant 30:8:6
Variant 31:1:3
Variant 31:2:CBAAA
Variant 31:3:32336
Variant 31:4:64
Variant 31:5:15
Variant 31:6:undefined behaviour
Variant 31:7:B~B=
Variant 31:8:1
Variant 32:1:10
Variant 32:2:AAAABC
Variant 32:3:050079
Variant 32:4:64
Variant 32:5:066
Variant 32:6:undefined behaviour
Variant 32:7:B~B=
Variant 32:8:-2
Variant 33:1:8
Variant 33:2:BAAC
Variant 33:3:5248
Variant 33:4:11
Variant 33:5:024
Variant 33:6:syntax
Variant 33:7:BB~B~B=
Variant 33:8:2
Variant 34:1:-1
Variant 34:2:CBBA
Variant 34:3:3776
Variant 34:4:3
Variant 34:5:677
Variant 34:6:undefined behaviour
Variant 34:7:BA~A~B=
Variant 34:8:-6
Variant 35:1:1
Variant 35:2:CBAAAA
Variant 35:3:923
Variant 35:4:41
Variant 35:5:711
Variant 35:6:undefined behaviour
Variant 35:7:A~A=
Variant 35:8:5
Variant 36:1:9
Variant 36:2:CAAAB
Variant 36:3:458
Variant 36:4:30
Variant 36:5:syntax
Variant 36:6:undefined behaviour
Variant 36:7:BB~B~B=
Variant 36:8:6
Variant 37:1:-5
