0; 10 1 11 2 6 0 3 9 5 4 8 7 ; 6 0 2 3 11 1 4 8 5 7 9 10 
1; 10 2 9 0 3 1 7 6 4 5 8 11 ; 3 1 0 7 9 2 5 8 4 11 6 10 
2; 7 2 0 1 8 6 5 10 9 4 3 11 ; 8 6 1 5 0 2 4 3 9 11 10 7 
3; 11 10 5 3 2 6 8 7 0 9 4 1 ; 2 6 3 8 5 10 9 4 0 1 7 11 
4; 1 5 2 10 11 3 0 8 7 9 4 6 ; 11 3 10 0 2 5 9 4 7 6 8 1 
5; 11 9 5 8 10 1 4 7 6 3 0 2 ; 10 1 8 4 5 9 3 0 6 2 7 11 
6; 8 10 7 3 9 0 5 6 2 11 4 1 ; 9 0 3 5 7 10 11 4 2 1 6 8 
7; 3 9 2 5 4 7 11 1 8 10 6 0 ; 4 7 5 11 2 9 10 6 8 0 1 3 
8; 10 7 4 6 5 1 2 11 0 3 8 9 ; 5 1 6 2 4 7 3 8 0 9 11 10 
9; 3 6 10 4 8 9 2 11 1 7 5 0 ; 8 9 4 2 10 6 7 5 1 0 11 3 
10; 8 3 2 10 0 9 6 5 4 1 7 ; 10 0 2 3 4 1 5 6 7 9 8 
11; 8 2 7 0 4 1 9 5 6 3 10 ; 0 4 7 2 6 3 5 9 10 1 8 
12; 8 5 1 0 6 2 3 10 9 4 7 ; 0 6 1 5 9 4 10 3 7 2 8 
13; 1 6 10 0 3 9 7 8 5 2 4 ; 0 3 10 6 5 2 8 7 4 9 1 
14; 2 6 3 8 7 0 4 5 1 10 9 ; 8 7 3 6 1 10 5 4 9 0 2 
15; 1 5 6 10 2 0 7 4 8 9 3 ; 10 2 6 5 8 9 4 7 3 0 1 
16; 1 7 5 0 8 9 10 6 4 2 3 ; 0 8 5 7 4 2 6 10 3 9 1 
17; 0 9 10 8 4 1 5 3 7 2 6 ; 8 4 10 9 7 2 3 5 6 1 0 
18; 0 9 3 5 4 2 10 6 1 8 7 ; 5 4 3 9 1 8 6 10 7 2 0 
19; 3 8 2 5 9 6 4 1 0 10 7 ; 5 9 2 8 0 10 1 4 7 6 3 
20; 7 11 3 2 5 9 8 6 10 0 4 1 ; 5 9 2 3 8 11 10 4 1 0 6 7 
21; 1 7 5 4 3 2 6 9 8 11 0 10 ; 3 2 4 5 6 7 8 0 10 11 9 1 
22; 9 2 4 11 1 6 8 0 3 10 7 5 ; 1 6 11 4 8 2 3 7 5 10 0 9 
23; 4 10 0 2 3 1 7 11 9 8 5 6 ; 3 1 2 0 7 10 9 5 6 8 11 4 
24; 0 4 7 5 11 1 10 3 6 9 8 2 ; 11 1 5 7 10 4 6 8 2 9 3 0 
25; 2 11 3 7 0 10 1 6 9 5 8 4 ; 0 10 7 3 1 11 9 8 4 5 6 2 
26; 5 8 2 11 7 3 10 0 1 4 9 6 ; 7 3 11 2 10 8 1 9 6 4 0 5 
27; 3 2 8 1 10 0 5 6 11 7 4 9 ; 10 0 1 8 5 2 11 4 9 7 6 3 
28; 3 0 11 5 1 8 9 7 6 10 4 2 ; 1 8 5 11 9 0 6 4 2 10 7 3 
29; 11 4 6 2 3 7 0 8 10 5 9 1 ; 3 7 2 6 0 4 10 9 1 5 8 11 
30; 7 9 2 0 1 6 4 5 3 8 10 ; 0 1 2 9 5 8 10 3 4 6 7 
31; 1 8 10 5 2 3 4 6 9 0 7 ; 5 2 10 8 6 0 7 9 4 3 1 
32; 6 1 2 4 8 10 0 7 5 9 3 ; 4 8 2 1 7 9 3 5 0 10 6 
33; 10 4 1 6 8 9 3 0 5 7 2 ; 6 8 1 4 0 7 2 5 3 9 10 
34; 4 5 3 1 8 6 2 7 0 10 9 ; 1 8 3 5 7 10 9 0 2 6 4 
35; 2 10 0 4 1 9 3 8 6 5 7 ; 4 1 0 10 8 5 7 6 3 9 2 
36; 1 3 8 7 2 9 4 0 6 5 10 ; 7 2 8 3 0 5 10 6 4 9 1 
37; 1 0 7 9 8 4 3 5 10 6 2 ; 9 8 7 0 5 6 2 10 3 4 1 
38; 6 1 10 8 3 4 7 2 5 0 9 ; 8 3 10 1 2 0 9 5 7 4 6 
39; 3 8 10 1 0 6 7 2 5 9 4 ; 1 0 10 8 2 9 4 5 7 6 3 
40; 10 9 7 8 6 0 1 5 4 3 2 ; 8 0 1 6 7 9 3 2 4 5 10 
41; 4 0 2 10 6 5 8 1 7 3 9 ; 10 5 8 6 2 0 3 9 7 1 4 
42; 8 9 4 2 7 10 5 3 6 0 1 ; 2 10 5 7 4 9 0 1 6 3 8 
43; 1 3 7 8 0 2 5 6 9 4 10 ; 8 2 5 0 7 3 4 10 9 6 1 
44; 9 3 1 7 10 0 8 2 4 6 5 ; 7 0 8 10 1 3 6 5 4 2 9 
45; 10 0 6 1 2 5 7 8 4 3 9 ; 1 5 7 2 6 0 3 9 4 8 10 
46; 3 6 9 10 0 4 5 8 7 1 2 ; 10 4 5 0 9 6 1 2 7 8 3 
47; 0 9 7 5 10 4 6 2 8 3 1 ; 5 4 6 10 7 9 3 1 8 2 0 
48; 7 6 1 9 0 2 5 4 10 8 3 ; 9 2 5 0 1 6 8 3 10 4 7 
49; 6 9 3 7 8 2 10 4 1 5 0 ; 7 2 10 8 3 9 5 0 1 4 6 
50; 9 7 6 1 11 0 5 8 3 10 2 4 ; 6 1 7 8 3 5 2 4 10 0 11 9 
51; 7 5 8 4 6 11 9 0 3 10 1 2 ; 8 4 5 0 3 9 1 2 10 11 6 7 
52; 0 6 7 2 3 9 10 5 11 1 4 8 ; 7 2 6 5 11 10 4 8 1 9 3 0 
53; 4 3 9 11 7 10 5 2 1 8 0 6 ; 9 11 3 2 1 5 0 6 8 10 7 4 
54; 4 9 1 8 0 11 3 10 6 2 7 5 ; 1 8 9 10 6 3 7 5 2 11 0 4 
55; 5 6 11 0 8 9 10 7 2 1 3 4 ; 11 0 6 7 2 10 3 4 1 9 8 5 
56; 6 3 9 0 11 1 8 5 7 4 2 10 ; 9 0 3 5 7 8 2 10 4 1 11 6 
